CustomerID,TransactionDate,Product Category,Remarks,Price
eU52ZJv13vPPzMNkukkO,02-04-23,transport,irctc train booking,465
eU52ZJv13vPPzMNkukkO,07-04-23,bills,motor repairs,3000
eU52ZJv13vPPzMNkukkO,13-04-23,food,dinner at a café,1500
eU52ZJv13vPPzMNkukkO,23-04-23,shopping,clothes in HnM,4000
eU52ZJv13vPPzMNkukkO,28-04-23,education,kids fees,12000
eU52ZJv13vPPzMNkukkO,12-05-23,bills,"electricity, groceries etc",3700
eU52ZJv13vPPzMNkukkO,19-05-23,food,lunch at hotel,1300
eU52ZJv13vPPzMNkukkO,19-05-23,entertainment,movie with family,1000
eU52ZJv13vPPzMNkukkO,21-05-23,housing,june month rent,23000
eU52ZJv13vPPzMNkukkO,22-05-23,food,dinner at a café,1200
eU52ZJv13vPPzMNkukkO,26-05-23,bills,kids school books and stuff,500
eU52ZJv13vPPzMNkukkO,29-05-23,lifestyle,holiday to singapore,150000
eU52ZJv13vPPzMNkukkO,31-05-23,shopping,home decoration,2300
eU52ZJv13vPPzMNkukkO,05-06-23,bills,petrol,500
eU52ZJv13vPPzMNkukkO,17-06-23,food,lunch at hotel,500
eU52ZJv13vPPzMNkukkO,28-06-23,shopping,snapdeal online purchase,2000
